from_id,to_id,from_infra,to_infra,distance,length,geometry,v_sea_flow,q_sea_flow
maritime5968,maritime7178,maritime,maritime,1.6740196794904691,0.01570211704318408,"LINESTRING (-95.30853271 28.94272995, -95.30391693 28.94175911, -95.29593658 28.93420982)",525272135.887631,1229260.709463167
maritime7312,maritime7313,maritime,maritime,2.721970505366307,0.024866418799124646,"LINESTRING (-76.48150635 39.19248962, -76.45768738 39.18534851)",111233226.11533302,47319.376268336804
maritime6551,maritime7820,maritime,maritime,99.31399994593329,0.9192287364892783,"LINESTRING (-119.2945938 34.03187943, -118.464798 33.63637924)",3686457.506647989,3959.9556698632186
maritime5887,maritime7211,maritime,maritime,0.2963071499858735,0.0029751830573963504,"LINESTRING (-80.11813354 26.0903492, -80.11798859 26.09332085)",59616048.05359221,165388.24222032516
maritime7515,maritime7249,maritime,maritime,27.008025408590665,0.2460879324195138,"LINESTRING (-79.51674652 8.966620445, -79.40007019 8.749950409)",298261424.5021136,397586.02278470027
maritime7249,maritime7269,maritime,maritime,2.441902332115077,0.022152167116749704,"LINESTRING (-79.5319519 8.982729912, -79.51674652 8.966620445)",298261424.5021136,397586.02278470027
maritime7269,maritime7270,maritime,maritime,58.62325790374103,0.5318816606843437,"LINESTRING (-79.90007019 9.366640091, -79.5319519 8.982729912)",333498587.6935503,458394.41673066205
maritime7305,maritime7284,maritime,maritime,0.8662065817528244,0.0085035447088836,"LINESTRING (-76.55718231 39.25608826, -76.56374359 39.25067902)",111233226.11533302,47319.376268336804
maritime7308,maritime7304,maritime,maritime,0.3607710637940173,0.0035997846353276997,"LINESTRING (-76.55722046 39.24440002, -76.55460358 39.2419281)",111233226.11533302,47319.376268336804
maritime7301,maritime7308,maritime,maritime,0.8222578412235146,0.008210814801531992,"LINESTRING (-76.55460358 39.2419281, -76.54865265 39.2362709)",111233226.11533302,47319.376268336804
maritime7290,maritime7301,maritime,maritime,1.0190278511604571,0.010170286929980428,"LINESTRING (-76.54865265 39.2362709, -76.5412674 39.22927856)",111233226.11533302,47319.376268336804
maritime7304,maritime7305,maritime,maritime,0.9052687539663385,0.009054118731105553,"LINESTRING (-76.56374359 39.25067902, -76.55722046 39.24440002)",111233226.11533302,47319.376268336804
maritime7313,maritime7311,maritime,maritime,4.300368359053204,0.04028080779170411,"LINESTRING (-76.51734924 39.20891953, -76.51130676 39.20251083, -76.50270081 39.19892883, -76.48150635 39.19248962)",111233226.11533302,47319.376268336804
maritime5400,maritime7312,maritime,maritime,1.4041745646957782,0.012864384938082068,"LINESTRING (-76.45768738 39.18534851, -76.44545746 39.18135834)",111233226.11533302,47319.376268336804
maritime7461,maritime8021,maritime,maritime,17.011863967521347,0.16148175231104667,"LINESTRING (-66.7482605 17.99221992, -66.74902344 17.83073997)",130392.07513062915,18.017977433424058
maritime7579,maritime7558,maritime,maritime,16.858580975672954,0.17916098944145067,"LINESTRING (-123.4028015 37.43643951, -123.3170013 37.27915955)",3686457.506647989,3959.9556698632186
maritime7514,maritime7504,maritime,maritime,49.51249108819907,0.4996384275041962,"LINESTRING (-124.3291092 38.65578842, -123.9878922 38.29080963)",3686457.506647989,3959.9556698632186
maritime7595,maritime7501,maritime,maritime,95.24468206715885,0.8692203800082565,"LINESTRING (-82.8666687 8.283329964, -82.80000305 7.416669846)",377698.46025874984,136.8160566579635
maritime7595,maritime7573,maritime,maritime,4828.709511832249,44.70923207211802,"LINESTRING (-117.7702026 32.6652298, -115.9999924 27.50000954, -113.4507675 24.92596054, -111.0066833 22.31038094, -108.2356796 20.15023041, -105.5 18, -99.64398193 15.5163002, -93.92429352 12.90571022, -88.31780243 10.1972599, -82.80000305 7.416669846)",3686457.506647989,3959.9556698632186
