id,infra,name,iso3,Continent_Code,geometry,canal_main,v_out,q_out,v_in,q_in,v_total,q_total
port143,port,Bellingham_U.S.A.,USA,NA,POINT (-122.50025501330771 48.75638842190907),Panama,71584096.33332472,474635.3790529487,391091218.34944135,1991428.7563357335,462675314.6827661,2466064.135388682
port144,port,Benicia_U.S.A.,USA,NA,POINT (-122.13192177950889 38.052037097690985),Panama,665009925.554096,2025690.2625906053,114785223.11079004,389534.8101387936,779795148.664886,2415225.072729399
port159,port,Boston_U.S.A.,USA,NA,POINT (-71.03617153597182 42.37717521495631),Panama,147228349.26504073,282047.8577542204,38741685.38255731,82401.30580116654,185970034.64759803,364449.16355538694
port177,port,Brownsville_U.S.A.,USA,NA,POINT (-97.38156647318829 25.95858284808265),Panama,56042453.78719072,82871.31565237803,46963943.544903435,59088.2718949565,103006397.33209416,141959.58754733455
port180,port,Brunswick_U.S.A.,USA,NA,POINT (-81.51967885646486 31.1318521684773),Panama,5852107746.794792,562642.7857053095,8102973881.451002,590919.7289209089,13955081628.245794,1153562.5146262185
port212,port,Canaveral Harbor_U.S.A.,USA,NA,POINT (-80.61594934700865 28.41097835086082),Panama,2156895.1216956535,6636.8294626261495,337592825.8264797,97969.92108550927,339749720.9481753,104606.75054813542
port231,port,Charleston_U.S.A.,USA,NA,POINT (-79.92115798771714 32.89929619779481),Panama,14121779432.640507,11211463.731277907,759261190.9414749,340810.3967160393,14881040623.581982,11552274.127993947
port264,port,Corpus Christi_U.S.A.,USA,NA,POINT (-97.3799079100681 27.84122725064461),Panama,4922798459.7064905,7062058.31859643,1411450891.6946633,1886954.9770012395,6334249351.401154,8949013.295597669
port314,port,EL Segundo_U.S.A.,USA,NA,POINT (-118.40197968164686 33.914907439319514),Panama,220761644.9802053,421833.81660448964,12348932.39819106,17771.593479035695,233110577.37839636,439605.41008352535
port333,port,Everett_U.S.A.,USA,NA,POINT (-122.22369174647808 47.97713082997939),Panama,25510796.97406489,86327.40315620163,64804301.90751368,185664.744385843,90315098.88157856,271992.14754204464
port358,port,Freeport_U.S.A.,USA,NA,POINT (-95.32605000312248 28.943937379395933),Panama,1683820715.592223,1905332.2987460233,1202961567.6515284,564978.7749783217,2886782283.2437515,2470311.0737243453
port373,port,Galveston_U.S.A.,USA,NA,POINT (-94.80456984576391 29.30976119320005),Panama,622455864.0468261,698498.1746603377,887168127.0568874,303095.7395472789,1509623991.1037135,1001593.9142076166
port464,port,Hilo_U.S.A.,USA,NA,POINT (-155.0556259484286 19.727737240286597),Panama,2760.6147272108446,1.0630069421699007,3146754.9044085853,3460.0865733338737,3149515.519135796,3461.1495802760437
port476,port,Honolulu_U.S.A.,USA,NA,POINT (-157.90351290034408 21.32896919368942),Panama,406610514.7188686,358769.0756149203,677817614.108361,961227.0973034347,1084428128.8272295,1319996.172918355
port481,port,Houston_U.S.A.,USA,NA,POINT (-95.13978774329904 29.720231142824687),Panama,14775014877.166046,18349847.55152592,60617044786.97094,31589861.062872168,75392059664.137,49939708.61439809
port513,port,Jacksonville_U.S.A.,USA,NA,POINT (-81.58303357119681 30.383326101047718),Panama,1255333214.8104057,598722.910607768,11523451064.895466,1759534.8066834742,12778784279.705872,2358257.7172912424
port629,port,Lake Charles_U.S.A.,USA,NA,POINT (-93.31148796186308 30.190647447424137),Panama,2564894070.9784408,3732644.7976455805,197470195.9040612,494685.2781629635,2762364266.882502,4227330.075808544
