from_id,to_id,from_infra,to_infra,distance,length,geometry,q_sea_flow,v_sea_flow
port345,maritime152,port,maritime,106.72518062757658,0.9649864540848495,"LINESTRING (-8.846579476120617 40.14727686105776, -8.999990463 41.09999084)",1141770.632528653,343731401.66648656
port346,maritime2812,port,maritime,25.923458109423443,0.2707702649944958,"LINESTRING (-4.833893636339257 56.11383240283289, -4.999989986 55.89999008)",157595.82757924567,589766783.6001197
port347,maritime36,port,maritime,96.12673183056525,1.3318912055300454,"LINESTRING (18.080904037093134 69.2217864868465, 17 69.99997711)",225359.98504812366,95489946.98948708
port348,maritime2183,port,maritime,63.13375947815377,0.9794055463883184,"LINESTRING (6.889601003476673 58.276332554109565, 5.949989796 57.99998856)",152173.762707889,121910165.71268234
port349,maritime2195,port,maritime,66.86196548874439,1.0359892865661273,"LINESTRING (5.057204180180993 61.60373535507638, 4.099979877 61.99996185)",547550.3301631829,307901213.05699825
port35,maritime4257,port,maritime,42.24219362676164,0.44076636191429763,"LINESTRING (-2.473846780759011 36.83346066109046, -2.099999905 36.5999794)",342807.1346242641,277638706.0518036
port350,maritime5319,port,maritime,41.594189064081306,0.37982469926599505,"LINESTRING (-61.046956230224346 14.601754287031373, -61.31074142 14.32847023)",87059.84799149953,34212497.05556322
port351,maritime673,port,maritime,49.51021169369125,0.45192895505989383,"LINESTRING (4.887000028740862 43.437564896174734, 4.999989986 42.99998856)",2693388.7786002643,4231324214.8982005
port352,maritime6056,port,maritime,5.674358316800043,0.05209227970188401,"LINESTRING (-90.20534334248903 29.1303434277988, -90.22685242 29.08289909)",214837.86380236046,44712387.714572564
port353,maritime11042,port,maritime,14.907288386007291,0.1908066077462467,"LINESTRING (-9.073834332059272 52.618272158975664, -8.903065420400509 52.703390549294745)",428241.5913060482,1118517093.896974
port354,maritime11086,port,maritime,23.494090084965432,0.21193390557873754,"LINESTRING (9.746943976209499 55.55789495739138, 9.726861649616854 55.34691467278525)",4239641.514059244,4894669293.802937
port355,maritime2868,port,maritime,41.71883852248094,0.40720280844639717,"LINESTRING (10.545880590458468 57.43847820033015, 10.73328972 57.79999161)",688970.3381518546,206305161.7214875
port356,maritime2866,port,maritime,17.54363359693979,0.27153458201171804,"LINESTRING (10.957433291156958 59.186364157675655, 10.69999981 59.09999847)",1497966.3613392622,1035148067.9453356
port357,maritime615,port,maritime,25.24368501327749,0.22762888637734768,"LINESTRING (-78.7626658095323 26.524515214800306, -78.80001068 26.29997063)",17086965.847524468,6318398474.849434
port358,maritime7179,port,maritime,0.74360690333283,0.0070207298303179315,"LINESTRING (-95.32605000312248 28.943937379395933, -95.33046722 28.93848038)",12836404.116266523,9944707256.139704
port359,maritime369,port,maritime,51.16849416727942,0.7081010210602744,"LINESTRING (12.01281697504398 55.96279547703541, 12.66335011 55.68312836)",108373.84470343964,209729988.01079828
port360,maritime219,port,maritime,99.57402900850514,0.8984962049659889,"LINESTRING (-13.201867189722815 8.486640908133134, -13.72152996 7.753670216)",845848.0886136252,1315649821.5980835
port361,maritime3569,port,maritime,23.31989412889281,0.22843359774162844,"LINESTRING (115.77052416812684 -32.152032519524546, 115.6000137 -32.00001907)",24119404.203415893,10368324911.394718
port362,maritime243,port,maritime,81.54392685268374,0.7989550793721542,"LINESTRING (56.35942059300059 25.20017277781963, 57.09999084 25.49998093)",35601654.55085803,14744375802.719893
port363,maritime11845,port,maritime,88.61474455128975,0.9874180210550965,"LINESTRING (136.11513900904595 36.185209366806724, 135.1278715200774 36.2024504088319)",21768.174717623333,39615211.98893132
port364,maritime3687,port,maritime,82.35914982954893,0.8787804131393072,"LINESTRING (133.4385466724517 34.462878531729864, 132.6000061 34.20000076)",1943400.6291810235,2749169544.8925257
port365,maritime303,port,maritime,65.78090100361062,0.6430690063502879,"LINESTRING (139.9681077054694 35.67485206478612, 140.4029388 35.20108032)",1000308.7619815571,1152736214.4248662
port366,maritime14,port,maritime,45.649557450295724,0.4108418414233199,"LINESTRING (179.1953024496817 -8.502722898706667, 179.3000031 -8.899999619)",8599.59729555135,42079873.42436358
port367,maritime2610,port,maritime,38.09499729596647,0.3721517898774402,"LINESTRING (-16.732209744042162 32.74157141504273, -17 33)",474962.5129906435,521103062.12748986
port368,maritime2905,port,maritime,65.85422263444526,0.9043833770183656,"LINESTRING (22.18746958900006 60.44475295311863, 21.40000916 59.99998856)",96034.95137045224,101074617.99165477
port369,maritime11845,port,maritime,190.78160934777387,2.092556379328151,"LINESTRING (137.14237319673575 36.768644011239836, 135.1278715200774 36.2024504088319)",2674600.305330121,1498040479.4064434
port37,maritime3281,port,maritime,193.78437217395307,1.7449820124129691,"LINESTRING (150.45602470262926 -10.31565512784391, 150.0000153 -12)",118588.36879699993,55332009.99980207
port370,maritime16,port,maritime,53.355397570592444,0.53137322685657,"LINESTRING (119.47432414767236 25.777604912592345, 120 25.70000076)",10292349.421912435,13827192966.014978
port371,maritime2663,port,maritime,84.50901813232382,0.9146686079005821,"LINESTRING (10.08893966692584 33.91881608676359, 11 33.99998093)",1718833.3869578813,853410407.7098787
port373,maritime6152,port,maritime,0.18437640806839883,0.0018877202823491918,"LINESTRING (-94.80456984576391 29.30976119320005, -94.80272675 29.31016922)",3626020.07011197,5165190692.309511
port374,maritime11042,port,maritime,63.674446115145166,0.5836159141133743,"LINESTRING (-9.044159060321112 53.26969446061829, -8.903065420400509 52.703390549294745)",54006.09491316383,111199127.51813677
port375,maritime657,port,maritime,317.4452317664557,3.2255000264555065,"LINESTRING (119.81110088470822 32.313467336662946, 122.6775513 30.8345108)",11781570.72224265,3792083434.96465
port376,maritime2819,port,maritime,48.000985138380514,0.5934503823629109,"LINESTRING (-2.8930672139858937 53.29145841460292, -3.400010109 53.59999084)",2499641.0965639097,3465016176.355847
port377,maritime12659,port,maritime,378.1593979899482,4.552828875744402,"LINESTRING (-87.3395544643907 41.61965319164468, -82.79532378758537 41.89932858883477)",7504.814442460375,4877094.543834378
port378,maritime2168,port,maritime,45.78942380830369,0.6401549610322301,"LINESTRING (28.563398252833014 60.603922231518375, 28 60.29998016)",11092330.421282362,5618820800.840363
port379,maritime39,port,maritime,193.36493133372713,1.9132373042254915,"LINESTRING (17.2458152581625 60.68762642747101, 18.16830063 59.01147079)",2031369.2247309098,1487725445.9858415
port38,maritime3075,port,maritime,93.26208517500564,0.9039490478956681,"LINESTRING (-97.88500211589354 22.484096017261084, -97 22.2999897)",2946863.1856437605,6997773328.00707
port380,maritime2180,port,maritime,72.14581627423333,0.6953192874559786,"LINESTRING (18.69364422721409 54.37579704132241, 19 54.99998856)",14794062.88055354,13011033757.986725
port381,maritime2180,port,maritime,59.976477356439716,0.6646665903252191,"LINESTRING (18.524510975094508 54.53556217887057, 19 54.99998856)",15659499.894569494,11774530843.792702
port382,maritime640,port,maritime,90.25193672329704,0.8742929930623053,"LINESTRING (-44.23521541519647 -23.057009661898604, -43.41038132 -23.34690094)",5502340.381665798,1665857723.9256575
port383,maritime3166,port,maritime,47.999435662569596,0.5430529768074338,"LINESTRING (144.36537251126336 -38.095292647827776, 144.8999939 -37.99996948)",11819340.259669831,21228263311.664253
port384,maritime2649,port,maritime,109.37078676736105,1.1267162176878662,"LINESTRING (14.280984047033945 37.05185810728561, 15.19999027 36.40000153)",202600.3682036537,235457648.748214
port385,maritime12,port,maritime,76.42155420746612,0.6872793030612118,"LINESTRING (29.103480035024777 40.41272034564045, 29.10000038 41.09999084)",45766689.55012363,14954519375.739834
port386,maritime3597,port,maritime,82.50778018876757,0.7450132613467755,"LINESTRING (125.1478438643604 6.060167101255927, 125.8000183 5.700009823)",4649797.72951711,1884554524.8336391
port387,maritime47,port,maritime,53.00570101676028,0.5230407646579343,"LINESTRING (8.858680067801865 44.41310049391406, 9.167429924 43.99090958)",28798601.986831166,42381722224.37852
port388,maritime4469,port,maritime,230.63916180674426,2.085555448767866,"LINESTRING (-75.76789416525226 23.506737649556786, -75.19999695 21.49999046)",212.1769969585011,711839.3411528112
port389,maritime659,port,maritime,122.5021585500117,1.1121469949021041,"LINESTRING (-81.38380906416288 19.29629305832162, -80.93477631 20.31376076)",141677.00160296782,285029616.88688123
port39,maritime2198,port,maritime,58.02844296097628,0.5257403719357575,"LINESTRING (6.371692044629987 62.479172023733824, 6.299990177 63)",43644.98173438036,50115723.92917692
port390,maritime346,port,maritime,37.25609577877374,0.3366131419366687,"LINESTRING (-58.169551897968255 6.7983690385449975, -57.90000153 6.999989986)",2475514.934590745,86769312468.96281
port391,maritime3571,port,maritime,62.97807617546954,0.6349617316130743,"LINESTRING (114.59419328868513 -28.776094489539258, 114.0000229 -29.00000954)",17429540.19498114,6695021519.618419
port392,maritime2691,port,maritime,129.18595596800202,1.3087333098460903,"LINESTRING (-1.8625375909539548 35.1021976995162, -2.900000095 35.89997864)",67493.53184021598,31184064.510640495
port393,maritime2217,port,maritime,48.37660560608602,0.5208870480288452,"LINESTRING (3.7669417070271725 51.13028980402819, 3.400000095 51.49998856)",12779460.8696304,12251469022.238323
port394,maritime2269,port,maritime,60.59774447131637,0.5498184220873876,"LINESTRING (-5.694793057193696 43.56033386628002, -5.800010204 44.09999084)",3199496.1638315506,1694867877.5427558
port395,maritime4293,port,maritime,38.504878678165845,0.38032567181138716,"LINESTRING (15.913639211618914 38.463398776609, 15.65999985 38.18000031)",63983225.23411833,76268868539.57024
