from_id,to_id,from_infra,to_infra,distance,length,geometry,v_sea_flow,q_sea_flow
port1298,maritime10421,port,maritime,10.269946758192818,0.14822810138417045,"LINESTRING (0.3424675699022445 51.458526142815174, 0.490694491338899 51.45793470273555)",4798931.250782533,1480.212042076102
port1302,maritime4166,port,maritime,219.3214164834775,1.9837883865300956,"LINESTRING (-70.21203911601285 -22.09465265480131, -70.80001068 -20.20000076)",315880527.9617406,484502.6730367547
port1304,maritime3689,port,maritime,33.999997779838395,0.31266592649330305,"LINESTRING (131.78288676809268 34.03990671128202, 131.8999939 33.75)",6595947.2896417705,2741.284276040235
port1305,maritime303,port,maritime,71.33138155748237,0.7325010413102588,"LINESTRING (139.79257807484336 35.606071135583385, 140.4029388 35.20108032)",7905158169.417667,2532841.7734469865
port1308,maritime3660,port,maritime,90.7807711764057,0.8762443367040011,"LINESTRING (141.72312896658843 42.637521854624524, 141.25 41.89999008)",143010351.9788765,34609.79205342999
port1309,maritime3703,port,maritime,47.956666251793045,0.44245555377941914,"LINESTRING (129.13845887498425 37.4880913966975, 129.3000336 37.89999008)",1570.011553174939,2.340776891952106
port1310,maritime4084,port,maritime,286.37657353186273,2.665800579577088,"LINESTRING (-109.0558619570523 25.58916702942682, -107.4000015 23.5)",568987035.5248696,752992.775176275
port1315,maritime3544,port,maritime,67.79837295388293,0.6157225384880093,"LINESTRING (146.83641161719981 -19.25646587785041, 147.1000061 -18.70001984)",329185153.99658996,112322.09402054525
port1318,maritime216,port,maritime,63.937086603298184,0.7183889109110831,"LINESTRING (13.78983719988008 45.622626464351534, 13.1853199 45.23450089)",39663642.31066161,15350.802237290829
port1320,maritime12655,port,maritime,145.5824441745438,1.7706179782379412,"LINESTRING (-72.553068243561 46.33296536607257, -70.91435715023587 47.003572536830966)",7583300.769783227,14654.48994255643
port1326,maritime4332,port,maritime,235.14581111815482,2.8321030502199114,"LINESTRING (39.08508650861091 44.099332652900905, 36.40000916 44.99998093)",310934.2091542604,77.34196072457061
port1328,maritime4193,port,maritime,82.23550338921557,0.7819436019407515,"LINESTRING (-40.23787540032175 -20.258827139406236, -39.5 -20.00003052)",285199500.03190124,505246.7391724915
port133,maritime4127,port,maritime,174.12899622493097,1.5665568812305268,"LINESTRING (122.06684214776212 40.265129996682546, 121.9999771 38.70000076)",265201387.23860908,91578.67107468224
port1332,maritime3075,port,maritime,153.35355091381956,1.3846082905555903,"LINESTRING (-97.3334154413632 20.95612428198529, -97 22.2999897)",71443.94601850728,5.789319411662901
port1336,maritime3465,port,maritime,90.86142485315453,0.8174016361593308,"LINESTRING (119.41680452652484 -5.111875810463217, 119.1999969 -5.900000095)",37598075.18518847,27674.478922416267
port1338,maritime4106,port,maritime,56.459209579972054,0.5180452308316366,"LINESTRING (129.37808377639416 35.48647294441066, 129.1999969 35)",1563737487.3973324,1418416.5467839013
port134,maritime7087,port,maritime,0.19518182248967955,0.001791025584979388,"LINESTRING (-94.03028275477728 30.025823215444778, -94.02957153 30.02417946)",1650328708.456851,2622626.580445658
port1343,maritime3685,port,maritime,104.1389165356622,1.1344692706367194,"LINESTRING (133.97346926067416 34.56607811194986, 135.1000061 34.70000076)",3860236.258316231,1938.8940285397707
port1348,maritime4247,port,maritime,46.1745237775937,0.4947962655347943,"LINESTRING (-0.3223452046263597 39.442209532556426, 0.09999000281 39.70000076)",386817998.6700544,363208.3390939878
port1350,maritime7954,port,maritime,12.755033428327916,0.1730056817630538,"LINESTRING (-123.0289043972785 49.289963992324004, -123.1997223 49.31739044)",1898588096.3829901,4089513.552540652
port1351,maritime5504,port,maritime,0.7087117091923546,0.009028759031993856,"LINESTRING (-122.72741242164274 45.6380227086201, -122.7184677 45.63925171)",42494762.40426816,112553.01618631526
port1357,maritime398,port,maritime,105.6269200018698,1.2593615408960113,"LINESTRING (21.577057465898903 57.40540163840601, 20.60000992 58.19998932)",12406.853337766026,1.50990712756096
port1358,maritime3957,port,maritime,34.971834672350624,0.3186439229139125,"LINESTRING (-96.1543367647264 19.22121794940443, -96 19.49999046)",268611408.5352311,573947.0397898552
port136,maritime263,port,maritime,245.47073924289828,2.316098582402918,"LINESTRING (109.06715220452973 21.47255147905038, 107.1000137 20.24998093)",1462855.2785972997,1275.886273148356
port1361,maritime206,port,maritime,16.041240931978272,0.1443447824213049,"LINESTRING (55.4622751304411 -4.622741734361303, 55.40089035 -4.492099762)",530.0403051718323,0.1221932437307597
port1363,maritime2284,port,maritime,52.082418370094366,0.6074926526048278,"LINESTRING (-8.723487947305248 42.241493262116734, -9.300009727 42.04999924)",1292748800.3045793,126121.02241490048
port1368,maritime4193,port,maritime,94.0541714900908,0.8930801792818943,"LINESTRING (-40.33140066429062 -20.32616721226767, -39.5 -20.00003052)",10562127.446888871,33496.18381838105
port1369,maritime3620,port,maritime,88.34707911124913,0.7976011631557979,"LINESTRING (131.8967883214997 43.09088665037428, 132 42.29999161)",53960912.21846312,26984.138567355873
port1370,maritime2217,port,maritime,21.0567708664198,0.2990158179583433,"LINESTRING (3.6957797372233476 51.45611530350443, 3.400000095 51.49998856)",155206783.340249,74169.0330017424
port1374,maritime3617,port,maritime,52.990369734036875,0.6479470163033627,"LINESTRING (133.05283576623467 42.73190378305415, 133.6999969 42.70000076)",261.47250805933794,0.0553721650445502
port1378,maritime3629,port,maritime,78.60958177797022,0.8120666610536272,"LINESTRING (130.81263360579425 33.91060335023822, 130.1000061 34.29998016)",4612171.564356789,2002.4191067768913
port1379,maritime3685,port,maritime,57.43880897993148,0.5169066381339079,"LINESTRING (135.13348941634422 34.18417972507268, 135.1000061 34.70000076)",17388450.861477062,7440.033764698695
port1393,maritime3195,port,maritime,88.2131996055412,0.8948843561407969,"LINESTRING (174.4881889562446 -35.84238338193423, 175.1999969 -35.30002975)",32813334.56738163,4557.135535712361
port1395,maritime3119,port,maritime,301.63670568499674,2.7225324989658266,"LINESTRING (137.59020210605993 -33.00851704187169, 138 -35.70003128)",11763779.663055476,10433.208107922124
port1397,maritime75,port,maritime,23.63354611687637,0.215359772186264,"LINESTRING (-68.93000053911604 12.123763318338368, -68.76558685 12.2628603)",304182757.9347843,781221.2509406768
port1398,maritime5709,port,maritime,1.7463912955286933,0.018313782963994513,"LINESTRING (-75.5216553562249 39.704856744349215, -75.50691223 39.71572113)",9835941.168189822,4039.0939652963607
port1399,maritime5296,port,maritime,0.8268138760033616,0.008502052713512247,"LINESTRING (-77.95014842805263 34.205147129406036, -77.95748138 34.20944977)",408662954.37262243,231683.87843016867
port140,maritime4238,port,maritime,182.28355294044226,1.6393457458124834,"LINESTRING (-48.65985859706124 -1.5006902145017782, -48 -0.000009999999747)",54446182.31771667,50536.03074451652
port1403,maritime16,port,maritime,100.17558751032878,0.9092125432893998,"LINESTRING (119.72153382532476 26.565520279385044, 120 25.70000076)",5773933.065541806,1605.1853475102778
port1404,maritime3487,port,maritime,193.29145664954154,1.7862026510964804,"LINESTRING (118.0205535858111 24.46593394092694, 117 22.99999046)",979646340.8840469,322869.3757825789
port1405,maritime16,port,maritime,117.82228220851934,1.1454280949675446,"LINESTRING (118.98704488726686 25.16527890676341, 120 25.70000076)",693.1795774034381,0.4336791741749979
port1406,maritime1878,port,maritime,58.979005053657204,0.6414043148549768,"LINESTRING (36.20476888395528 36.71363081392979, 35.59999084 36.49998856)",184518.7733229795,62.5553584280198
port1410,maritime4127,port,maritime,137.11734562609269,1.2857036222581557,"LINESTRING (121.41062020815046 37.55733184105751, 121.9999771 38.70000076)",147041176.0237902,52993.831651894805
port1414,maritime3488,port,maritime,58.90016194928302,0.573507247630615,"LINESTRING (114.29351576122542 22.58487742159139, 113.72076061864975 22.555515716294114)",17632734912.775562,4926059.935651885
