id,name,iso3,geometry,lat,lon,export,import,trans,throughput
port524,Jose Terminal_Venezuela,VEN,POINT (-64.8679501611048 10.06758499444423),10.06758499444423,-64.8679501611048,100260021.88271143,50259244.6049992,104523722.15381539,255042988.641526
port1375,Vung Tau_Vietnam,VNM,POINT (107.09173538460608 10.390880888340675),10.390880888340675,107.09173538460608,99725336.80976947,189407918.2647911,563097.8812224838,289696352.95578307
port772,Motril_Spain,ESP,POINT (-3.5219560911506065 36.72133009744583),36.72133009744583,-3.5219560911506065,99107679.67402452,78005725.49563879,171158510.43357825,348271915.60324156
port606,Kulevi Oil Terminal_Georgia,GEO,POINT (41.63981522835862 42.269716825747366),42.269716825747366,41.63981522835862,99011569.27515823,31557514.23715538,20946219.095358472,151515302.60767207
port368,Furku_Finland,FIN,POINT (22.18746958900006 60.44475295311863),60.44475295311863,22.18746958900006,98989191.83276483,64255952.69148511,2085426.1588899288,165330570.68313986
port996,Portmouth_U.S.A.,USA,POINT (-70.78807026991318 43.093030640754236),43.093030640754236,-70.78807026991318,98618658.01680972,2708153586.6940513,1349885.292550091,2808122130.0034113
port189,Bullen Baai_Curacao,CUW,POINT (-69.02057948025225 12.1894172120367),12.1894172120367,-69.02057948025225,97666163.60367398,201273284.97916377,45951055.373830274,344890503.956668
port623,Laayoune_Western Sahara,ESH,POINT (-13.421204749469785 27.072699467943735),27.072699467943735,-13.421204749469785,97548727.70281926,13012723.186290037,122138.0544707042,110683588.94358
port173,Brindisi_Italy,ITA,POINT (17.981096877298484 40.64050446445633),40.64050446445633,17.981096877298484,97250262.03795396,846057414.501832,6923785.72985888,950231462.2696449
port722,Maumere_Indonesia,IDN,POINT (122.24121687620064 -8.624805572819783),-8.624805572819783,122.24121687620064,96881101.71496573,118796604.44701797,699196.8275400684,216376902.98952377
port1325,Tsuruga Ko_Japan,JPN,POINT (136.07061073668024 35.66719379264206),35.66719379264206,136.07061073668024,96383620.03502432,1530714139.914336,30039.263570997813,1627127799.2129314
port240,Chiriqui Grande_Panama,PAN,POINT (-82.12102128651314 8.954239787395805),8.954239787395805,-82.12102128651314,96296453.50463435,784832440.8392311,69031028.1325895,950159922.476455
port1029,Puerto Cabello_Venezuela,VEN,POINT (-67.9954731115483 10.4725273239446),10.4725273239446,-67.9954731115483,96075296.45649646,2235544105.5087748,5177603.980802771,2336797005.9460735
port549,Kasim Terminal_Indonesia,IDN,POINT (131.02644113047552 -1.3139518607166152),-1.3139518607166152,131.02644113047552,95926239.7602073,68957036.04489316,16127788.499425255,181011064.3045257
port1407,Yalova_Turkey,TUR,POINT (29.453370586996424 40.70423723264424),40.70423723264424,29.453370586996424,95808470.56372668,94197589.41001175,5253.6934990709615,190011313.6672375
port347,Finnsnes_Norway,NOR,POINT (18.080904037093134 69.2217864868465),69.2217864868465,18.080904037093134,95489946.9894871,324377665.44257545,0.0,419867612.43206257
port1234,Sunderland_United Kingdom,GBR,POINT (-1.361674386024465 54.910399336324254),54.910399336324254,-1.361674386024465,93076659.97663341,622906918.7697542,280390.119050262,716263968.8654379
port662,Longyan Port_China,CHN,POINT (122.65540291788824 37.407224705907694),37.407224705907694,122.65540291788824,92993709.41984928,19630228.418443326,131136436.54675265,243760374.38504523
port333,Everett_U.S.A.,USA,POINT (-122.22369174647808 47.97713082997939),47.97713082997939,-122.22369174647808,92799284.11615571,1254265735.0647843,45072107.13922189,1392137126.3201618
port491,Imatra_Finland,FIN,POINT (28.83198597855262 61.23687321510792),61.23687321510792,28.83198597855262,91046901.52387632,100706713.70821296,30878277.35236097,222631892.58445024
